Src IP,Dst IP,Timestamp,Label,Src Port,Dst Port,Fwd Header Len,Init Bwd Win Byts,Fwd Seg Size Avg,Fwd Pkt Len Mean,Init Fwd Win Byts,Fwd Pkt Len Max,TotLen Fwd Pkts,Bwd Pkt Len Mean,Idle Min,Bwd Header Len,Pkt Len Var,Subflow Fwd Byts,TotLen Bwd Pkts,Idle Max,Fwd Seg Size Min,Idle Mean,Pkt Len Max,Bwd Pkt Len Std,Bwd Pkt Len Max,Protocol,Pkt Len Mean,Down/Up Ratio
177.30.87.144,192.168.1.1,2019-02-04 19:53:30,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,13008834.0,0,0.0,0,0.0,1554198810261884.0,0,518066308488962.6,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 19:54:38,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1554198878975227.0,0,0.0,0,0.0,1554198878975227.0,0,1554198878975227.0,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 19:55:58,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,21709138.0,0,0.0,0,0.0,1554198958641907.0,0,518066341392956.4,0.0,0.0,0.0,0,0.0,0.0
41.238.224.122,192.168.1.190,2019-02-04 19:57:37,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,15168707.0,0,0.0,0,0.0,1554199057577083.0,0,518066382584703.4,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 19:58:04,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,54478999.0,0,0.0,0,0.0,1554199084287139.0,0,518066398634633.4,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 19:59:07,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,40255700.0,0,0.0,0,0.0,1554199147865192.0,0,777099594060446.0,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 20:00:37,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,19148778.0,0,0.0,0,0.0,1554199237579924.0,0,518066437002668.4,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 20:03:01,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,23343592.0,0,0.0,0,0.0,1554199381561447.0,0,518066479326244.6,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 20:03:26,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,6040497.0,0,0.0,0,0.0,1554199406954437.0,0,259033250586479.8,0.0,0.0,0.0,0,0.0,0.0
164.91.192.168,1.152.3.122,2019-02-04 20:03:43,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,43687115.0,0,0.0,0,0.0,1554199423878717.0,0,777099733782916.0,0.0,0.0,0.0,0,0.0,0.0
164.42.192.168,1.152.3.122,2019-02-04 20:03:59,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,44672952.0,0,0.0,0,0.0,1554199439890261.0,0,777099742281606.5,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 20:06:52,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,6033677.0,0,0.0,0,0.0,1554199612164109.0,0,310839941745691.6,0.0,0.0,0.0,0,0.0,0.0
161.241.192.168,1.152.3.122,2019-02-04 20:06:56,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,14504914.0,0,0.0,0,0.0,1554199616528767.0,0,777099815516840.5,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 20:07:12,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,14432238.0,0,0.0,0,0.0,1554199632339766.0,0,388549936525767.0,0.0,0.0,0.0,0,0.0,0.0
161.130.192.168,1.152.3.122,2019-02-04 20:07:31,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,13460934.0,0,0.0,0,0.0,1554199651593939.0,0,777099832527436.5,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 20:09:19,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,10033172.0,0,0.0,0,0.0,1554199759111735.0,0,388549965889738.0,0.0,0.0,0.0,0,0.0,0.0
140.85.192.168,1.152.192.168,2019-02-04 20:09:26,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,16157462.0,0,0.0,0,0.0,1554199766604932.0,0,777099891381197.0,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 20:09:41,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,35227256.0,0,0.0,0,0.0,1554199781331717.0,0,518066628423826.0,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 20:11:41,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,70250783.0,0,0.0,0,0.0,1554199901652793.0,0,777099985951788.0,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 20:11:59,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,16899205.0,0,0.0,0,0.0,1554199919880174.0,0,310840004824914.0,0.0,0.0,0.0,0,0.0,0.0
41.238.224.122,192.168.1.190,2019-02-04 20:12:52,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,30000260.0,0,0.0,0,0.0,1554199972935678.0,0,777100001467969.0,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 20:14:02,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,6047667.0,0,0.0,0,0.0,1554200042863951.0,0,388550030276248.0,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 20:14:42,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,82124594.0,0,0.0,0,0.0,1554200082392543.0,0,777100082258568.5,0.0,0.0,0.0,0,0.0,0.0
41.238.224.122,192.168.1.190,2019-02-04 20:15:53,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,60016328.0,0,0.0,0,0.0,1554200153047983.0,0,777100106532155.5,0.0,0.0,0.0,0,0.0,0.0
155.153.192.168,1.152.3.122,2019-02-04 20:16:07,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1554200167495547.0,0,0.0,0,0.0,1554200167495547.0,0,1554200167495547.0,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 20:16:55,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,10035185.0,0,0.0,0,0.0,1554200215307333.0,0,777100112671259.0,0.0,0.0,0.0,0,0.0,0.0
177.30.87.144,192.168.1.1,2019-02-04 20:18:16,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,9426147.0,0,0.0,0,0.0,1554200296921820.0,0,388550088644620.0,0.0,0.0,0.0,0,0.0,0.0
244.15.103.115,192.168.1.79,2019-02-04 20:20:23,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,76186594.0,0,0.0,0,0.0,1554200423796143.0,0,777100249991368.5,0.0,0.0,0.0,0,0.0,0.0
